AUD,1,0.845464,BOC
EUR,1,1.503744,BOC
HKD,1,0.170163,BOC
JPY,1,0.009333,BOC
USD,1,1.32,BOC
USD (American Dollar),1,1.3214,OCBC
AUD (Australian Dollar),1,0.8461,OCBC
EUR (Euro),1,1.508,OCBC
JPY (Japanese Yen),1,0.009287,OCBC
HKD (HongKong Dollar),1,0.170918,OCBC
AUD,1,0.8493,UOB
EUR,1,1.5112,UOB
USD,1,1.3242,UOB
HKD,1,0.17115,UOB
JPY,1,0.009353,UOB
